date,factor,horizon,sample_size,ic,rank_ic
2020-03-12,amount_change_5_20,5,2710,-0.0031123228022149952,-0.013447623947155344
2020-03-12,amount_change_5_20,20,2694,0.026727116755432982,0.04768913482760731
2020-03-12,low_volatility_20,1,2711,0.3449024440782318,0.46552226194758844
2020-03-12,low_volatility_20,5,2709,0.1461457062495586,0.1780274105097979
2020-03-12,low_volatility_20,20,2693,0.2679922911499717,0.3304576939168437
2020-03-12,momentum_20,1,2711,-0.07572518710620628,-0.1189157058531617
2020-03-12,momentum_20,5,2709,-0.0970573360512768,-0.0714313883931568
2020-03-12,momentum_20,20,2693,-0.13943976193098692,-0.14107608889415926
2020-03-12,momentum_60_skip_5,1,2656,-0.22520574472680344,-0.305235761434912
2020-03-12,momentum_60_skip_5,5,2655,-0.07948513763624669,-0.05839917971087377
2020-03-12,momentum_60_skip_5,20,2641,-0.09319936645617923,-0.09725716827518555
2020-03-12,overnight_reversal_5,1,2720,-0.15058548440946118,-0.20903746695042358
2020-03-12,overnight_reversal_5,5,2718,0.01631554173486543,-0.05154101922428959
2020-03-12,overnight_reversal_5,20,2702,-0.1329766388130708,-0.1941399644491011
2020-03-12,reversal_5,1,2720,-0.029327224954552696,-0.10934033702116383
2020-03-12,reversal_5,5,2718,0.13406513710929951,0.08002385057641048
2020-03-12,reversal_5,20,2702,0.12283678388075613,0.08371186522892363
2020-03-13,amihud_illiquidity_20,1,2728,-0.012372469192014294,-0.031033466665527525
2020-03-13,amihud_illiquidity_20,5,2723,0.13713654233843825,0.15330295821572534
2020-03-13,amihud_illiquidity_20,20,2709,0.027665123348105773,0.054682270191791414
2020-03-13,amount_change_5_20,1,2728,-0.10051328613780022,-0.11840456324723826
2020-03-13,amount_change_5_20,5,2723,-0.07672260713698802,-0.05665671931017009
2020-03-13,amount_change_5_20,20,2709,-0.06211291192867868,-0.07087618862374062
2020-03-13,low_volatility_20,1,2728,-0.014119537328933009,-0.026789213033144396
2020-03-13,low_volatility_20,5,2723,0.15771382529915048,0.1360438066751721
2020-03-13,low_volatility_20,20,2709,0.1457438583231243,0.18716598426965025
2020-03-13,momentum_20,1,2728,-0.03262285781420452,0.002755724960230201
2020-03-13,momentum_20,5,2723,-0.09225006258859533,-0.025252949693118826
2020-03-13,momentum_20,20,2709,-0.13190801570238894,-0.16342249649011115
2020-03-13,momentum_60_skip_5,1,2673,0.051609016978483274,0.12369253100003548
2020-03-13,momentum_60_skip_5,5,2669,-0.10798088511128762,-0.0077574786261434695
2020-03-13,momentum_60_skip_5,20,2657,-0.0196835675616425,0.012306923817945318
2020-03-13,overnight_reversal_5,1,2737,0.09732579793157144,0.037629212518096734
2020-03-13,overnight_reversal_5,5,2732,0.008216160065888252,-0.039354718595001094
2020-03-13,overnight_reversal_5,20,2718,-0.008309302236594138,-0.04549902937359791
2020-03-13,reversal_5,1,2737,0.0575275367784763,0.02399650664500313
2020-03-13,reversal_5,5,2732,0.07459248436548209,0.05187296557475258
2020-03-13,reversal_5,20,2718,0.1640533538998484,0.19734584791780113
2020-03-16,amihud_illiquidity_20,1,2736,0.05819168276453116,0.07808462831402112
2020-03-16,amihud_illiquidity_20,5,2731,0.12493457064579148,0.1542575855389433
2020-03-16,amihud_illiquidity_20,20,2713,0.004663639265404689,0.03058924995921998
2020-03-16,amount_change_5_20,1,2736,-0.13262792793405415,-0.14916845418425453
2020-03-16,amount_change_5_20,5,2731,-0.11142818103445945,-0.08004103853915603
2020-03-16,amount_change_5_20,20,2713,-0.0720153962741787,-0.0902976338955474
2020-03-16,low_volatility_20,1,2736,0.07468879832606143,0.14591896629176918
2020-03-16,low_volatility_20,5,2731,0.2043464520638708,0.18394067107096787
2020-03-16,low_volatility_20,20,2713,0.1613376581236428,0.21238501611485328
2020-03-16,momentum_20,1,2736,-0.10534077005483986,-0.14736704295676772
2020-03-16,momentum_20,5,2731,-0.13762364120331527,-0.04544888953893626
2020-03-16,momentum_20,20,2713,-0.13011849405955242,-0.17750829881977476
2020-03-16,momentum_60_skip_5,1,2682,0.0004145011118085975,-0.028621777197211148
2020-03-16,momentum_60_skip_5,5,2678,-0.15504903872970902,-0.07216532941981249
2020-03-16,momentum_60_skip_5,20,2663,0.01836942568975188,0.0032299303126392294
2020-03-16,overnight_reversal_5,1,2745,-0.01912539679483917,-0.07285503241772996
2020-03-16,overnight_reversal_5,5,2740,-0.001904631501064276,-0.022847275584758922
2020-03-16,overnight_reversal_5,20,2722,-0.009212787624257287,-0.041405049176755034
2020-03-16,reversal_5,1,2745,0.10565235827998878,0.10652565069384326
2020-03-16,reversal_5,5,2740,0.1109686316060942,0.08859564781991695
2020-03-16,reversal_5,20,2722,0.15841186193982848,0.19134530961676352
2020-03-17,amihud_illiquidity_20,1,2730,0.04433578364100477,0.030909514888234405
2020-03-17,amihud_illiquidity_20,5,2724,0.09796401140811725,0.12568996644066685
2020-03-17,amihud_illiquidity_20,20,2708,-0.01028527339991429,0.009087698977895603
2020-03-17,amount_change_5_20,1,2731,-0.0970587640962754,-0.1393716056392637
2020-03-17,amount_change_5_20,5,2725,-0.10589150897182924,-0.0840311243080818
2020-03-17,amount_change_5_20,20,2709,-0.034908055595215606,-0.05593398176877444
2020-03-17,low_volatility_20,1,2730,-0.2213576575357415,-0.31276352398578583
2020-03-17,low_volatility_20,5,2724,0.14160570052797444,0.09245810283072681
2020-03-17,low_volatility_20,20,2708,0.1318625115732036,0.16800035562818794
2020-03-17,momentum_20,1,2730,0.00593374809042877,0.03101594725472259
2020-03-17,momentum_20,5,2724,-0.10914828964195729,-0.04237145935919387
2020-03-17,momentum_20,20,2708,-0.094954989007414,-0.14579330812966307
2020-03-17,momentum_60_skip_5,1,2679,0.14011149792376898,0.24946314702497804
2020-03-17,momentum_60_skip_5,5,2674,-0.10405374313985048,-0.03127354729298096
2020-03-17,momentum_60_skip_5,20,2660,0.000919548837584099,0.004636338007219265
2020-03-17,overnight_reversal_5,1,2740,0.03064521656218905,0.05132056783073539
2020-03-17,overnight_reversal_5,5,2734,0.0856139530230345,0.0738510096170019
2020-03-17,overnight_reversal_5,20,2718,0.012942912430756359,-0.00832496280653935
2020-03-17,reversal_5,1,2740,0.0590110176686761,0.08969436226256844
2020-03-17,reversal_5,5,2734,0.14037772332278825,0.10230923295115998
