factor,horizon,sample_period,dates,mean_high_minus_low,std_high_minus_low,spread_ir,spread_t_stat,positive_spread_ratio,average_group_monotonicity
overnight_reversal_5,5,train_2020_2023,970,-0.0015355957683014644,0.011074835718402912,-0.13865630221040523,-4.318425990842419,0.4288659793814433,-0.11690248922718711
overnight_reversal_5,5,validation_2024,242,0.001029761436125036,0.018970594309293813,0.0542819808033399,0.8444294478901521,0.47107438016528924,-0.04843760942983556
overnight_reversal_5,20,test_2025,242,-0.0040547523404804225,0.026738264175751033,-0.15164605726940505,-2.3590590195787966,0.41735537190082644,-0.0909500482350208
overnight_reversal_5,20,train_2020_2023,970,-0.008189351310001978,0.02095127651255158,-0.39087600724928945,-12.173764062600037,0.2979381443298969,-0.27865693835240213
overnight_reversal_5,20,validation_2024,242,0.00011685320624830285,0.029226250099985848,0.003998227820830132,0.062197828106429376,0.4132231404958678,-0.10962249337680625
reversal_5,1,test_2025,243,0.0011557960273621561,0.00760807615670809,0.15191698972979958,2.3681515027043902,0.551440329218107,0.07395196934140874
reversal_5,1,train_2020_2023,970,0.0009530197493995436,0.00871736570843393,0.10932428227457638,3.404885421567915,0.5432989690721649,0.06375380834255644
reversal_5,1,validation_2024,242,0.0005951100976439764,0.01639616585662154,0.03629568661649291,0.564628374955567,0.49586776859504134,-0.007676606316064183
reversal_5,5,test_2025,243,0.0034281283328586568,0.015262310847942644,0.22461397667842467,3.5013853772741017,0.5720164609053497,0.11506186165933373
reversal_5,5,train_2020_2023,970,0.002581132988111176,0.018084764365793607,0.14272417024096012,4.445119020660915,0.5360824742268041,0.06613010708986018
reversal_5,5,validation_2024,242,0.004917968146775046,0.03406873658806457,0.14435428604939746,2.2456256802951744,0.5619834710743802,0.07190743116861424
reversal_5,20,test_2025,242,0.006400246028748299,0.03677545317177032,0.17403581674042495,2.7073619361028625,0.5371900826446281,0.05093474188347779
reversal_5,20,train_2020_2023,970,0.004982993565271444,0.0338553701558043,0.1471847314721248,4.584042410707588,0.5525773195876289,0.061227021037761765
reversal_5,20,validation_2024,242,0.01641942656650307,0.05324040447693189,0.30840161204292343,4.797603166497107,0.6446280991735537,0.2157737745250522
