factor,horizon,sample_period,dates,average_sample_size,mean_ic,std_ic,ic_ir,ic_t_stat,positive_ic_ratio,mean_rank_ic,std_rank_ic,rank_ic_ir,rank_ic_t_stat,positive_rank_ic_ratio
low_volatility_20,1,validation_2024,242,3044.694214876033,0.014976130900290359,0.19219800480268986,0.07792032448861698,1.2121557764394597,0.5247933884297521,0.05075277223802792,0.2435238686337494,0.20840984714462693,3.2420963560043856,0.5661157024793388
low_volatility_20,5,test_2025,243,3019.456790123457,0.011217991705099859,0.14940441573069838,0.07508473996725974,1.1704552604675227,0.5102880658436214,0.05280937915262056,0.18816592540759913,0.2806532534422826,4.374951248443845,0.6172839506172839
low_volatility_20,5,train_2020_2023,970,2892.8092783505153,0.0334307509891646,0.13656525874551825,0.2447968926816222,7.624155894692889,0.5896907216494846,0.07788403849781424,0.14620213294115458,0.5327147896615302,16.591307836044887,0.6824742268041237
low_volatility_20,5,validation_2024,242,3041.9752066115702,0.034757665802703654,0.20643356425656895,0.16837216335374894,2.6192561663506693,0.5619834710743802,0.06627503867033759,0.24866303138981663,0.2665254995884029,4.146163738598025,0.628099173553719
low_volatility_20,20,test_2025,242,3004.913223140496,0.012529475951062994,0.1576204250451036,0.07949144882382879,1.2365967352128002,0.49173553719008267,0.044504175796355454,0.2039660626118238,0.21819402319420747,3.3943024151299763,0.5454545454545454
low_volatility_20,20,train_2020_2023,970,2878.7876288659795,0.05664592709697829,0.13735269676601786,0.4124121945233837,12.84450480344982,0.6422680412371135,0.10844565934496664,0.15009389823581026,0.7225187740449601,22.502719335271664,0.7494845360824742
low_volatility_20,20,validation_2024,242,3031.504132231405,0.05221473251829915,0.20902332904430493,0.24980337246103104,3.886028489870206,0.5826446280991735,0.08140845088565597,0.24787086302621272,0.32843090104159156,5.109185780109781,0.6322314049586777
momentum_20,1,test_2025,243,3023.201646090535,-0.02720150609467257,0.13850521337226068,-0.1963933734505938,-3.061469709776494,0.4074074074074074,-0.05251071620906696,0.14801961292007002,-0.35475512449436364,-5.530085098826942,0.32098765432098764
momentum_20,1,train_2020_2023,970,2896.6587628865977,-0.01835779214118563,0.14487674559512434,-0.12671317308913543,-3.94645934823706,0.44123711340206184,-0.03106137498249615,0.15334040814127767,-0.20256483831631816,-6.30884603635662,0.4247422680412371
momentum_20,1,validation_2024,242,3044.694214876033,-0.03691902416044557,0.19491377139980323,-0.18941208666430245,-2.94656056021849,0.4297520661157025,-0.03976857355037736,0.22443204490620183,-0.1771965031419558,-2.7565306774328473,0.4214876033057851
momentum_20,5,test_2025,243,3019.456790123457,-0.0421153944741921,0.1329085009995241,-0.3168750994666843,-4.93959394736765,0.4156378600823045,-0.07326059748003626,0.13984168600443797,-0.523882395680722,-8.166518338589215,0.30864197530864196
momentum_20,5,train_2020_2023,970,2892.8092783505153,-0.030432856522054116,0.12849318414247274,-0.23684413087864867,-7.376468535939985,0.42371134020618556,-0.03953650330781929,0.13428386112559376,-0.2944248324140856,-9.169809293753088,0.3845360824742268
momentum_20,5,validation_2024,242,3041.9752066115702,-0.06861275045486236,0.18237794777040234,-0.37621187919736726,-5.852483360754637,0.2975206611570248,-0.06833690005814969,0.20966736721667198,-0.3259300718338766,-5.070282007699759,0.36363636363636365
momentum_20,20,test_2025,242,3004.913223140496,-0.051016066334594,0.11814362132850657,-0.4318139715113376,-6.717448924268752,0.3305785123966942,-0.09307824286181693,0.13992742375491082,-0.6651894272337041,-10.347919004952049,0.24793388429752067
momentum_20,20,train_2020_2023,970,2878.7876288659795,-0.046313934632989134,0.12938067013182966,-0.35796641481141306,-11.148800630962441,0.3556701030927835,-0.06058246404195316,0.13464903929953176,-0.44992867648454016,-14.012948993892618,0.31443298969072164
momentum_20,20,validation_2024,242,3031.504132231405,-0.08567079478295404,0.16452143498021762,-0.5207272523076113,-8.100614967617703,0.256198347107438,-0.08988988195382083,0.1958372077818714,-0.45900308205957746,-7.140412222016756,0.29338842975206614
