factor,horizon,sample_period,factor_group,dates,average_assets,mean_group_return,std_group_return
reversal_5,1,test_2025,3,243,610.2962962962963,0.0017793512973062625,0.010789461373739965
reversal_5,1,test_2025,4,243,608.1358024691358,0.0018427354356950693,0.011425419657283177
reversal_5,1,test_2025,5,243,608.0164609053498,0.0016736340721089152,0.013263841452382793
reversal_5,1,train_2020_2023,1,970,579.0185567010309,-0.00048342970451257703,0.012668649568299158
reversal_5,1,train_2020_2023,2,970,585.2092783505154,0.0006058031643628107,0.01185268950799151
reversal_5,1,train_2020_2023,3,970,584.5628865979381,0.0007338441954352786,0.01205555378769327
reversal_5,1,train_2020_2023,4,970,583.9515463917526,0.0007779683216206784,0.012704881587084207
reversal_5,1,train_2020_2023,5,970,583.8103092783505,0.0004695900448869661,0.014356414234239877
reversal_5,1,validation_2024,1,242,602.8553719008264,-0.0007310965963872472,0.01899142024892704
reversal_5,1,validation_2024,2,242,612.3884297520661,0.0006638302661925323,0.019071872628880805
reversal_5,1,validation_2024,3,242,612.7933884297521,0.0004958079515483329,0.01985904058903651
reversal_5,1,validation_2024,4,242,613.4628099173553,0.00017641429521047343,0.02113507930099227
reversal_5,1,validation_2024,5,242,612.0619834710744,-0.0001359864987432681,0.022835206961922035
reversal_5,5,test_2025,1,243,600.2551440329219,0.00476862180424178,0.025519526293111792
reversal_5,5,test_2025,2,243,608.1810699588477,0.008554976484819548,0.021771333192827494
reversal_5,5,test_2025,3,243,609.8395061728395,0.008757393660896201,0.022155861155699702
