rebalance_date,formation_date,strategy,selected_assets,assets_with_sufficient_history,forecast_annual_volatility,target_equity_exposure,target_cash_weight,maximum_target_weight,erc_solver_success,erc_max_risk_contribution_error,history_last_date
2023-01-03,2022-12-30,monthly_vol_target_10,20,20,0.15791507288561915,0.633251773707706,0.366748226292294,0.0316625886853853,False,,2022-12-30
2023-01-03,2022-12-30,monthly_vol_target_15,20,20,0.15791507288561915,0.9498776605615592,0.0501223394384408,0.04749388302807795,False,,2022-12-30
2023-01-03,2022-12-30,monthly_vol_target_20,20,20,0.15791507288561915,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2022-12-30
2023-01-03,2022-12-30,monthly_risk_parity_cap_08_vol_15,20,20,0.15324967773326528,0.9787948804765421,0.021205119523457938,0.0667719551658352,True,1.6424092534605972e-07,2022-12-30
2023-02-01,2023-01-31,monthly_equal,20,20,0.11104707988629015,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-01-31
2023-02-01,2023-01-31,monthly_risk_parity,20,20,0.10590257552419927,1.0000000000000002,-2.220446049250313e-16,0.07191319944124752,True,8.59553806673019e-08,2023-01-31
2023-02-01,2023-01-31,monthly_risk_parity_cap_08,20,20,0.10590257552419927,1.0000000000000002,-2.220446049250313e-16,0.07191319944124752,True,8.59553806673019e-08,2023-01-31
2023-02-01,2023-01-31,monthly_vol_target_10,20,20,0.11104707988629015,0.9005189519832297,0.09948104801677027,0.045025947599161495,False,,2023-01-31
2023-02-01,2023-01-31,monthly_vol_target_15,20,20,0.11104707988629015,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-01-31
2023-02-01,2023-01-31,monthly_vol_target_20,20,20,0.11104707988629015,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-01-31
2023-02-01,2023-01-31,monthly_risk_parity_cap_08_vol_15,20,20,0.10590257552419927,1.0000000000000002,-2.220446049250313e-16,0.07191319944124752,True,8.59553806673019e-08,2023-01-31
2023-03-01,2023-02-28,monthly_equal,20,20,0.12079330152890735,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-02-28
2023-03-01,2023-02-28,monthly_risk_parity,20,20,0.11351551476769658,1.0,0.0,0.09098439438226069,True,9.375429850522199e-08,2023-02-28
2023-03-01,2023-02-28,monthly_risk_parity_cap_08,20,20,0.11409024525559301,1.0,0.0,0.08000000000000036,True,0.008591036435309854,2023-02-28
2023-03-01,2023-02-28,monthly_vol_target_10,20,20,0.12079330152890735,0.8278604751611062,0.17213952483889383,0.04139302375805531,False,,2023-02-28
2023-03-01,2023-02-28,monthly_vol_target_15,20,20,0.12079330152890735,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-02-28
2023-03-01,2023-02-28,monthly_vol_target_20,20,20,0.12079330152890735,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-02-28
2023-03-01,2023-02-28,monthly_risk_parity_cap_08_vol_15,20,20,0.11409024525559301,1.0,0.0,0.08000000000000036,True,0.008591036435309854,2023-02-28
2023-04-03,2023-03-31,monthly_equal,20,20,0.13220365982217067,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-03-31
2023-04-03,2023-03-31,monthly_risk_parity,20,20,0.12838743577936873,1.0,0.0,0.06859462628724865,True,1.4267802874584623e-07,2023-03-31
2023-04-03,2023-03-31,monthly_risk_parity_cap_08,20,20,0.12838743577936873,1.0,0.0,0.06859462628724865,True,1.4267802874584623e-07,2023-03-31
2023-04-03,2023-03-31,monthly_vol_target_10,20,20,0.13220365982217067,0.7564087116386315,0.24359128836136845,0.03782043558193157,False,,2023-03-31
2023-04-03,2023-03-31,monthly_vol_target_15,20,20,0.13220365982217067,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-03-31
2023-04-03,2023-03-31,monthly_vol_target_20,20,20,0.13220365982217067,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-03-31
2023-04-03,2023-03-31,monthly_risk_parity_cap_08_vol_15,20,20,0.12838743577936873,1.0,0.0,0.06859462628724865,True,1.4267802874584623e-07,2023-03-31
2023-05-04,2023-04-28,monthly_equal,20,20,0.12976831505289033,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-04-28
2023-05-04,2023-04-28,monthly_risk_parity,20,20,0.1207205144292772,1.0,0.0,0.09019195358604609,True,1.4796392674293335e-07,2023-04-28
2023-05-04,2023-04-28,monthly_risk_parity_cap_08,20,20,0.12132770640788239,1.0,0.0,0.08,True,0.007534878989479646,2023-04-28
2023-05-04,2023-04-28,monthly_vol_target_10,20,20,0.12976831505289033,0.7706041336765644,0.22939586632343556,0.03853020668382822,False,,2023-04-28
2023-05-04,2023-04-28,monthly_vol_target_15,20,20,0.12976831505289033,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-04-28
2023-05-04,2023-04-28,monthly_vol_target_20,20,20,0.12976831505289033,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-04-28
2023-05-04,2023-04-28,monthly_risk_parity_cap_08_vol_15,20,20,0.12132770640788239,1.0,0.0,0.08,True,0.007534878989479646,2023-04-28
2023-06-01,2023-05-31,monthly_equal,20,20,0.1410815685614938,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-05-31
2023-06-01,2023-05-31,monthly_risk_parity,20,20,0.13553248360970127,1.0,0.0,0.07340645817938138,True,2.1157995701293064e-07,2023-05-31
2023-06-01,2023-05-31,monthly_risk_parity_cap_08,20,20,0.13553247248027683,1.0,0.0,0.0734065451413308,True,2.5545070207744214e-07,2023-05-31
