date,strategy,nav,daily_return,cash,holdings_count,is_rebalance,buy_amount,sell_amount,turnover,transaction_cost,delist_writeoff,blocked_buys,blocked_sells,cumulative_transaction_cost,cumulative_turnover,cash_ratio
2022-03-21,monthly_vol_target_15,1832891.5943492425,0.009233070585502157,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.1896312319630271
2022-03-22,monthly_vol_target_15,1838500.7954987732,0.0030603016385823967,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.189052673755754
2022-03-23,monthly_vol_target_15,1836407.2820397217,-0.0011387068551599322,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.1892681947465757
2022-03-24,monthly_vol_target_15,1821277.1254400618,-0.008238998367973482,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.19084052955814845
2022-03-25,monthly_vol_target_15,1826970.7156686392,0.003126152604152166,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.19024579217949752
2022-03-28,monthly_vol_target_15,1829488.1065422627,0.0013779043375099498,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.189984012384775
2022-03-29,monthly_vol_target_15,1812520.708509506,-0.00927439646755901,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.1917624937796957
2022-03-30,monthly_vol_target_15,1822977.3277256011,0.005769103308449264,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.1906625418785468
2022-03-31,monthly_vol_target_15,1829851.0290446875,0.0037705906785259202,347573.4910911238,32,False,0.0,0.0,0.0,0.0,0.0,0,0,49797.06693103713,42.131290452420004,0.18994633200965103
2022-04-01,monthly_vol_target_15,1817991.7373492955,-0.006481014851566047,472822.52840233775,33,True,1217314.9275305832,1344677.2397317071,1.4019048039062012,2113.2748899103935,0.0,0,0,51910.34182094752,43.53319525632621,0.2600795805000367
2022-04-06,monthly_vol_target_15,1836260.5491469738,0.010048897045217053,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.25749206920661954
2022-04-07,monthly_vol_target_15,1814460.5260364716,-0.011871966165492798,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.26058573422656744
2022-04-08,monthly_vol_target_15,1807001.029182123,-0.004111137579081547,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.26166146048978434
2022-04-11,monthly_vol_target_15,1777386.3311921225,-0.016388866144367742,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.2660212471000651
2022-04-12,monthly_vol_target_15,1795165.9026002113,0.010003211511232735,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.26338653587252137
2022-04-13,monthly_vol_target_15,1785195.3236673137,-0.0055541267347244405,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.264857588485624
2022-04-14,monthly_vol_target_15,1795269.633143684,0.005643253341978571,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.2633713174184212
2022-04-15,monthly_vol_target_15,1771593.0215617698,-0.013188331794179664,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.2668911666774998
2022-04-18,monthly_vol_target_15,1778337.4220081961,0.0038069694135962617,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.26587897355744816
2022-04-19,monthly_vol_target_15,1781893.9385685336,0.0019999109934498716,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.2653483005740369
2022-04-20,monthly_vol_target_15,1778481.4964572813,-0.0019150646609156219,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.2658574347521725
2022-04-21,monthly_vol_target_15,1738875.4179386394,-0.022269603927584702,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.27191282568296243
2022-04-22,monthly_vol_target_15,1738482.3532142793,-0.00022604536259762664,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.2719743042131756
2022-04-25,monthly_vol_target_15,1642762.4282925294,-0.05505947457261984,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.28782161087880775
2022-04-26,monthly_vol_target_15,1586374.0664601224,-0.03432532961629553,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.29805235625000265
2022-04-27,monthly_vol_target_15,1615180.8389048756,0.01815887756475587,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.2927365883828344
2022-04-28,monthly_vol_target_15,1613988.4966988638,-0.000738209726918404,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.2929528490255135
2022-04-29,monthly_vol_target_15,1663344.8028891836,0.030580333311711838,472822.52840233775,33,False,0.0,0.0,0.0,0.0,0.0,0,0,51910.34182094752,43.53319525632621,0.2842600810012802
2022-05-05,monthly_vol_target_15,1672427.1765250764,0.005460307219595784,871476.9235144904,31,True,745860.2812881476,1146228.5315757336,1.1378075330722037,1713.855175434896,0.0,2,0,53624.196996382416,44.67100278939841,0.5210851245106058
2022-05-06,monthly_vol_target_15,1675206.9774309841,0.0016621356941135534,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5202204475359486
2022-05-09,monthly_vol_target_15,1688064.9129482126,0.007675430970892183,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5162579453135201
2022-05-10,monthly_vol_target_15,1693141.825010045,0.0030075336694046495,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5147099378454727
2022-05-11,monthly_vol_target_15,1691151.7049235187,-0.0011754007001241185,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5153156402097601
2022-05-12,monthly_vol_target_15,1703866.081938018,0.007518176505090235,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5114703160962343
2022-05-13,monthly_vol_target_15,1716782.9455733988,0.007580914822066687,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5076220763734466
2022-05-16,monthly_vol_target_15,1718303.968414538,0.0008859727113792459,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5071727351701303
2022-05-17,monthly_vol_target_15,1709133.4989541722,-0.0053369308509642055,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5098940042119305
2022-05-18,monthly_vol_target_15,1725061.4153973868,0.009319293345406265,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5051860274283255
2022-05-19,monthly_vol_target_15,1729989.6166863304,0.002856826571480786,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.503746909870905
2022-05-20,monthly_vol_target_15,1734641.575598009,0.002689009729774483,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5023959622402415
2022-05-23,monthly_vol_target_15,1749429.7702516492,0.008525216310777184,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.49814913312532205
2022-05-24,monthly_vol_target_15,1715016.6774254013,-0.019671034191499848,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5081448682019579
2022-05-25,monthly_vol_target_15,1729905.1903300623,0.008681264211967799,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5037714947535445
2022-05-26,monthly_vol_target_15,1733455.7817558825,0.0020524774685153346,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5027396329843145
2022-05-27,monthly_vol_target_15,1736253.096069748,0.001613721182453176,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.5019296584623523
2022-05-30,monthly_vol_target_15,1748631.7515445722,0.007129522477365091,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.49837647220160103
2022-05-31,monthly_vol_target_15,1749449.2499617373,0.00046750747631274514,871476.9235144904,31,False,0.0,0.0,0.0,0.0,0.0,0,0,53624.196996382416,44.67100278939841,0.49814358635070477
2022-06-01,monthly_vol_target_15,1759820.3571430976,0.005928212654117804,710218.4318462136,33,True,846212.8784504608,686100.1808808657,0.875969988338024,1145.7940986802644,0.0,0,0,54769.99109506268,45.546972777736435,0.4035743926722079
2022-06-02,monthly_vol_target_15,1770464.9072052175,0.00604865719328318,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.40114798602099094
2022-06-06,monthly_vol_target_15,1786258.3710936853,0.008920517895719682,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.3976011776008434
2022-06-07,monthly_vol_target_15,1776028.715122236,-0.005726862438822811,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.39989130006680806
2022-06-08,monthly_vol_target_15,1763208.549168952,-0.007218445199745238,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.40279888172103
2022-06-09,monthly_vol_target_15,1740546.286174824,-0.01285285453318008,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.40804340423893665
2022-06-10,monthly_vol_target_15,1764662.779955787,0.013855703793987262,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.4024669415104953
2022-06-13,monthly_vol_target_15,1772211.219815081,0.0042775537315311585,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.4007527003018977
2022-06-14,monthly_vol_target_15,1772592.088799935,0.00021491173320398183,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.40066659235009877
2022-06-15,monthly_vol_target_15,1772828.7901086719,0.00013353399816717904,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.40061309688155405
2022-06-16,monthly_vol_target_15,1782145.152287946,0.005255082854731308,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.39851884731971693
2022-06-17,monthly_vol_target_15,1786875.8175153597,0.0026544780717441263,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.39746378840907265
2022-06-20,monthly_vol_target_15,1818805.791079518,0.017869162059933608,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.39048612849680714
2022-06-21,monthly_vol_target_15,1816582.4088496673,-0.0012224407029906015,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.39096405887578334
2022-06-22,monthly_vol_target_15,1811468.4012831894,-0.0028151806059358853,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.39206780054408696
2022-06-23,monthly_vol_target_15,1835272.051957961,0.013140527683458192,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.3869826443924304
2022-06-24,monthly_vol_target_15,1845501.6677371336,0.0055738961252416175,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.3848375995872438
2022-06-27,monthly_vol_target_15,1862040.604517085,0.008961756615603944,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.3814194116515557
2022-06-28,monthly_vol_target_15,1886536.5522470719,0.01315543155748733,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.37646682806133047
2022-06-29,monthly_vol_target_15,1870232.2996634294,-0.008642426018315108,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.37974877878754737
2022-06-30,monthly_vol_target_15,1857580.9266104058,-0.00676459980682631,710218.4318462136,33,False,0.0,0.0,0.0,0.0,0.0,0,0,54769.99109506268,45.546972777736435,0.38233512288596466
2022-07-01,monthly_vol_target_15,1853159.0729458663,-0.002380436621196469,659648.5512816393,33,True,1040092.3037751323,991122.9106855803,1.0925120020778838,1600.4874750237934,0.0,0,0,56370.478570086474,46.63948477981432,0.35595894648862053
2022-07-04,monthly_vol_target_15,1860988.6944334088,0.004225013169050884,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3544613426480132
2022-07-05,monthly_vol_target_15,1840293.1084265972,-0.011120747841572687,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3584475474374958
2022-07-06,monthly_vol_target_15,1831781.7185964615,-0.004625018585986407,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3601130771121964
2022-07-07,monthly_vol_target_15,1837623.7286917532,0.0031892501360741843,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.35896823761154756
2022-07-08,monthly_vol_target_15,1841182.3036194567,0.0019365090209391145,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3582744359343887
2022-07-11,monthly_vol_target_15,1836761.7862173459,-0.002400912388426102,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.35913669166654927
2022-07-12,monthly_vol_target_15,1828361.1693072629,-0.004573601744722322,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3607867867438738
2022-07-13,monthly_vol_target_15,1839743.9826200083,0.006225691894921503,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.35855453667103365
2022-07-14,monthly_vol_target_15,1845029.3506346713,0.0028728823491712685,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3575274025070262
2022-07-15,monthly_vol_target_15,1822037.7281442946,-0.012461385767368882,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3620389090150602
2022-07-18,monthly_vol_target_15,1860535.8717883124,0.02112916930827069,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3545476124830624
2022-07-19,monthly_vol_target_15,1882751.2240301748,0.011940297727508709,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3503641600984385
2022-07-20,monthly_vol_target_15,1881907.7341280086,-0.0004480092172562955,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.35052119682546007
2022-07-21,monthly_vol_target_15,1879559.9940941264,-0.0012475319545727226,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3509590294294191
2022-07-22,monthly_vol_target_15,1883226.2004699705,0.001950566296028855,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3502757932727465
2022-07-25,monthly_vol_target_15,1869560.0779798892,-0.007256761023540781,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3528362415581785
2022-07-26,monthly_vol_target_15,1876759.2510983744,0.00385073109084777,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.35148277590510324
2022-07-27,monthly_vol_target_15,1884518.252224442,0.004134254897918632,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3500356393486798
2022-07-28,monthly_vol_target_15,1901358.5400227534,0.008936123477941038,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.3469353819368257
2022-07-29,monthly_vol_target_15,1904537.4506958001,0.0016719154258031388,659648.5512816393,33,False,0.0,0.0,0.0,0.0,0.0,0,0,56370.478570086474,46.63948477981432,0.34635630349019625
2022-08-01,monthly_vol_target_15,1920415.9669373755,0.00833720346941691,-5.820766091346741e-11,33,True,1670742.0536271117,1012911.5099244617,1.406210673239191,1818.007578989934,0.0,0,0,58188.48614907641,48.04569545305351,-3.0309923430961324e-17
2022-08-02,monthly_vol_target_15,1844059.61421104,-0.03976031966038396,-5.820766091346741e-11,33,False,0.0,0.0,0.0,0.0,0.0,0,0,58188.48614907641,48.04569545305351,-3.1564956178692135e-17
2022-08-03,monthly_vol_target_15,1830314.5701781125,-0.007453687465959868,-5.820766091346741e-11,33,False,0.0,0.0,0.0,0.0,0.0,0,0,58188.48614907641,48.04569545305351,-3.180199833507476e-17
