ts_code,trade_date,symbol,name,area,industry,market,exchange,list_status,list_date,delist_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,reference_factor,open_adj,high_adj,low_adj,close_adj,limit_pre_close,up_limit,down_limit,is_suspended,is_st,is_research_universe,st_data_available,has_stock_metadata,is_listed_on_date,has_invalid_raw_price,has_invalid_adjusted_price,has_invalid_adj_factor,has_invalid_volume,has_invalid_amount,has_zero_volume,is_open_at_up_limit,is_open_at_down_limit,is_close_at_up_limit,is_close_at_down_limit,can_trade_at_open
000004.SZ,2025-03-12,000004,国华退,,,主板,SZSE,D,1990-12-01,2026-07-14,12.31,12.35,12.17,12.25,12.23,0.02,0.1635,50222.0,61486.916,4.064,4.064,12.31,12.35,12.17,12.25,12.23,13.45,11.01,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000006.SZ,2025-03-12,000006,深振业A,深圳,区域地产,主板,SZSE,L,1992-04-27,,6.71,6.86,6.65,6.66,6.75,-0.09,-1.3333,379950.39,256074.976,39.74,39.74,6.709999999999999,6.859999999999999,6.65,6.66,6.75,7.43,6.08,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000007.SZ,2025-03-12,000007,全新好,深圳,其他商业,主板,SZSE,L,1992-04-13,,6.35,6.38,6.24,6.26,6.35,-0.09,-1.4173,47425.94,29780.688,8.284,8.284,6.35,6.38,6.24,6.26,6.35,6.99,5.72,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000008.SZ,2025-03-12,000008,神州高铁,北京,运输设备,主板,SZSE,L,1992-05-07,,2.8,2.87,2.79,2.84,2.81,0.03,1.0676,804325.0,228898.786,22.408,22.408,2.8,2.87,2.79,2.84,2.81,3.09,2.53,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000009.SZ,2025-03-12,000009,中国宝安,深圳,电气设备,主板,SZSE,L,1991-06-25,,8.61,8.64,8.55,8.58,8.6,-0.02,-0.2326,137908.0,118401.166,8.977,9.0053,8.58294226733146,8.612847989517286,8.523130822959814,8.553036545145636,8.6,9.46,7.74,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000010.SZ,2025-03-12,000010,*ST美丽,深圳,建筑工程,主板,SZSE,L,1995-10-27,,2.93,2.98,2.91,2.97,2.92,0.05,1.7123,294354.0,86881.308,10.775,10.775,2.93,2.9800000000000004,2.91,2.97,2.92,3.21,2.63,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000011.SZ,2025-03-12,000011,深物业A,深圳,房产服务,主板,SZSE,L,1992-03-30,,8.35,8.66,8.32,8.4,8.37,0.03,0.3584,95376.12,80867.836,4.411,4.411,8.35,8.66,8.32,8.4,8.37,9.21,7.53,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000012.SZ,2025-03-12,000012,南玻A,深圳,玻璃,主板,SZSE,L,1992-02-28,,4.93,4.94,4.9,4.91,4.93,-0.02,-0.4057,98767.92,48548.733,29.9276,30.3449,4.862203137924331,4.872065618934319,4.832615694894366,4.842478175904354,4.93,5.42,4.44,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000001.SZ,2025-03-13,000001,平安银行,深圳,银行,主板,SZSE,L,1991-04-03,,11.81,11.91,11.78,11.84,11.85,-0.01,-0.0844,1312371.21,1555123.174,127.7841,134.5794,11.213679218364774,11.308629931475398,11.185194004431585,11.24216443229796,11.85,13.04,10.67,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000002.SZ,2025-03-13,000002,万科A,深圳,全国地产,主板,SZSE,L,1991-01-29,,7.41,7.44,7.33,7.35,7.44,-0.09,-1.2097,758376.5,559845.298,181.704,181.704,7.41,7.44,7.329999999999999,7.35,7.44,8.18,6.7,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
