date,window_days,rolling_return,rolling_annualized_volatility,rolling_sharpe
2021-03-31,63,0.037593743093312204,0.20830206699783366,0.7832952347745471
2021-04-01,63,0.03752329188728276,0.20828725881675444,0.7820834400693134
2021-04-02,63,0.04434813626583223,0.2077223739917679,0.9049833432886742
2021-04-06,63,0.052132403015436646,0.20885539534624822,1.037869951403103
2021-04-07,63,0.061571481521952354,0.20990028996282795,1.1973269743227044
2021-04-08,63,0.03709861511460355,0.2112481883823259,0.7665658647638717
2021-04-09,63,0.04371082134185644,0.211362606663807,0.8818487288732832
2021-04-12,63,0.04048366341007292,0.21151640613387748,0.8250775085829835
2021-04-13,63,0.039618349727301494,0.21156053851765477,0.8098317872764489
2021-04-14,63,0.08456884396768394,0.20238670982579832,1.6413196232112754
2021-04-15,63,0.08340089995141997,0.2024197353563923,1.6206098662776331
2021-04-16,63,0.1483078218542755,0.18742280528524563,2.9290860429829912
2021-04-19,63,0.15111065531314782,0.18748881035311388,2.9781807751763916
2021-04-20,63,0.17703492002298038,0.1793222171322675,3.5837033969733203
2021-04-21,63,0.15602822967649144,0.17810445590154791,3.2176511629360136
2021-04-22,63,0.13732007442461147,0.17408755586878297,2.9271470946283378
2021-04-23,63,0.11491321596849291,0.1737084025655933,2.4923079552097556
2021-04-26,63,0.0981625432264801,0.17029799791675915,2.196845162085996
2021-04-27,63,0.11104642404742582,0.16965565645756753,2.4690482119554633
2021-04-28,63,0.10937065849849636,0.1697522279546788,2.4335238974462543
2021-04-29,63,0.13164660866361522,0.16728348956891043,2.9243343854067625
2021-04-30,63,0.1453455975530411,0.16292552757594633,3.2824390778667714
2021-05-06,63,0.15305990091489363,0.16236900194295287,3.452307639215787
2021-05-07,63,0.14558291305129067,0.16268095563281465,3.292034969699748
2021-05-10,63,0.156218797563767,0.1622447886373885,3.519751799309839
2021-05-11,63,0.1826346060204469,0.15824152842702197,4.154513127956579
2021-05-12,63,0.19950657171330155,0.15810054358995068,4.503220482880151
2021-05-13,63,0.2060440945266,0.15728763845761548,4.658828212235956
2021-05-14,63,0.2333734851099558,0.15442792224777124,5.3013850605379025
2021-05-17,63,0.24921131770969196,0.1497872791361231,5.789287559438327
2021-05-18,63,0.251859717678796,0.14935911509811975,5.860122550353142
2021-05-19,63,0.24332927489176082,0.15010849500626042,5.656008452351598
2021-05-20,63,0.22545910266683888,0.1495017425678773,5.305139800027855
2021-05-21,63,0.2140551018809771,0.14888344199152587,5.0845733161433175
2021-05-24,63,0.17192787609733062,0.13523587893246955,4.577945620318283
2021-05-25,63,0.1272176561356344,0.1153800756604508,4.04718601769443
2021-05-26,63,0.10942051903522731,0.1096666581833898,3.69390882494483
2021-05-27,63,0.12966735584597444,0.10939181242302559,4.339120853648944
2021-05-28,63,0.12837272918451847,0.10951063055164013,4.294229604198898
2021-05-31,63,0.13168669407987932,0.10949555764034037,4.3978895320634095
2021-06-01,63,0.09245564805953577,0.13272373692303568,2.6267278799499336
2021-06-02,63,0.07221780459767024,0.13102976100082714,2.110148883924978
2021-06-03,63,0.08096649873617756,0.13142319914152875,2.3420211002117037
2021-06-04,63,0.0822373487898167,0.1316395060163601,2.372713695535766
2021-06-07,63,0.07638621895095632,0.13190784331163596,2.2100848318762667
2021-06-08,63,0.06996614584756422,0.13083300851968077,2.051342409490604
2021-06-09,63,0.08292518072682165,0.1303698859805111,2.4133139929420055
2021-06-10,63,0.1006537572510644,0.1282145134387467,2.9389215526160513
2021-06-11,63,0.11644642970111896,0.12479401702322164,3.4552853164289483
2021-06-15,63,0.0931492587021836,0.126852286352256,2.76164910479844
2021-06-16,63,0.08100802868392054,0.12744676561159954,2.4122676817355666
2021-06-17,63,0.08053655628645484,0.12747970092046093,2.398515391903545
2021-06-18,63,0.05738588024979174,0.12155246873523055,1.8244055399904737
2021-06-21,63,0.05430328820300723,0.12135555739577518,1.7346773124871304
2021-06-22,63,0.04777598269262584,0.12002142072402251,1.553725229277291
2021-06-23,63,0.05798320798372125,0.12114436289938911,1.8480765280646239
2021-06-24,63,0.047710646783029276,0.12215951568747468,1.526652051016903
2021-06-25,63,0.057309782802903886,0.12254848251255474,1.8083015946191427
2021-06-28,63,0.06455008434449128,0.12213682772661326,2.0288321552769357
2021-06-29,63,0.058623256706000326,0.12367324293279366,1.8315653317119431
2021-06-30,63,0.051815839920935636,0.12296538848238404,1.6397087575734512
2021-07-01,63,0.056002149942135704,0.1226469208565989,1.768167152451883
2021-07-02,63,0.05042967376474117,0.12338133085034286,1.5935010933303204
2021-07-05,63,0.05834202619485285,0.1253016802259614,1.8011897941348798
