ts_code,name,start_date,end_date,ann_date,change_reason
000413.SZ,ST宝石A,1998-05-04,2000-04-26,1998-04-30,ST
000413.SZ,*ST宝石A,2007-04-11,2008-04-22,2007-04-10,*ST
000413.SZ,ST旭电,2024-07-09,,2024-07-05,ST
000415.SZ,*ST汇通,2010-03-16,2011-04-07,2010-03-15,*ST
000415.SZ,ST汇通,2011-04-08,2011-10-25,2011-04-07,撤消*ST并实行ST
000416.SZ,ST国货,2001-04-30,2001-10-21,2001-04-27,ST
000416.SZ,ST青健,2001-10-22,2002-02-06,2001-07-23,其他
000416.SZ,*ST民控,2023-04-27,,2023-04-26,*ST
000420.SZ,*ST吉纤,2012-02-28,2013-04-25,2012-02-27,*ST
000422.SZ,*ST宜化,2018-04-24,2019-04-25,2018-04-21,*ST
000422.SZ,ST宜化,2019-04-26,2021-06-10,2019-04-25,撤消*ST并实行ST
000430.SZ,ST张家界,2001-04-27,2002-03-06,2001-04-26,ST
000430.SZ,S*ST张股,2007-03-12,2008-05-21,2007-03-09,*ST
000430.SZ,SST张股,2008-05-22,2009-06-07,2008-05-21,撤消*ST并实行ST
000430.SZ,ST张家界,2009-06-08,2010-02-07,2009-06-04,其他
000430.SZ,*ST张股,2010-02-08,2011-04-12,2010-02-05,从ST变为*ST
000430.SZ,ST张家界,2011-04-13,2012-04-24,2011-04-12,撤消*ST并实行ST
000430.SZ,ST张家界,2025-04-17,2025-11-04,2025-04-16,ST
000430.SZ,*ST张股,2025-11-05,2026-02-11,2025-11-04,从ST变为*ST
000430.SZ,ST张家界,2026-02-12,2026-05-17,2026-02-11,撤消*ST并实行ST
000488.SZ,ST晨鸣,2025-02-21,,2025-02-20,ST
000498.SZ,ST丹化,2003-04-16,2003-05-11,2003-04-15,ST
000498.SZ,*ST丹化,2003-05-12,2004-03-22,2003-04-15,从ST变为*ST
000498.SZ,*ST丹化,2007-04-20,2013-02-07,2007-04-19,*ST
000498.SZ,*ST路桥,2013-02-08,2013-05-05,2013-02-01,其他
000502.SZ,ST琼能源,1999-05-04,2001-03-22,1999-04-30,ST
000502.SZ,*ST绿景,2021-05-06,2022-06-05,2021-04-30,*ST
000503.SZ,ST海虹,1998-06-15,2000-03-20,1998-06-12,ST
000504.SZ,ST港澳,2000-04-19,2001-03-08,2000-04-18,ST
000504.SZ,*ST传媒,2010-04-23,2011-05-16,2010-04-22,*ST
000504.SZ,ST传媒,2011-05-17,2013-10-28,2011-05-16,撤消*ST并实行ST
000504.SZ,*ST传媒,2013-10-29,2015-03-30,2013-10-28,从ST变为*ST
000504.SZ,*ST生物,2016-04-26,2017-05-11,2016-04-25,*ST
000504.SZ,*ST生物,2019-05-06,2020-06-11,2019-04-30,*ST
000504.SZ,ST生物,2020-06-12,2021-04-27,2020-06-11,撤消*ST并实行ST
000504.SZ,*ST生物,2025-04-30,2026-06-11,2025-04-29,*ST
000505.SZ,ST珠江,2003-04-29,2003-05-11,2003-04-28,ST
000505.SZ,*ST珠江,2003-05-12,2004-04-29,2003-04-28,从ST变为*ST
000505.SZ,ST珠江,2004-04-30,2006-04-25,2004-04-29,撤消*ST并实行ST
000505.SZ,*ST珠江,2006-04-26,2006-08-16,2006-04-25,从ST变为*ST
000505.SZ,*ST珠江,2006-10-09,2007-06-05,2006-09-28,其他
000505.SZ,*ST珠江,2009-04-29,2010-06-02,2009-04-28,*ST
000505.SZ,ST珠江,2010-06-03,2013-03-28,2010-06-02,撤消*ST并实行ST
000505.SZ,*ST珠江,2013-03-29,2014-04-15,2013-03-28,从ST变为*ST
000505.SZ,*ST珠江,2016-04-26,2017-05-18,2016-04-25,*ST
000506.SZ,ST峨眉,1998-04-30,2000-02-21,1998-04-30,ST
000506.SZ,ST东控,2000-02-22,2001-02-12,1999-11-19,其他
000506.SZ,*ST东泰,2006-05-09,2006-10-08,2006-05-08,*ST
000506.SZ,S*ST东泰,2006-10-09,2008-12-28,2006-09-28,其他
000506.SZ,*ST东泰,2008-12-29,2009-06-04,2008-12-25,其他
000506.SZ,ST中润,2009-06-05,2010-04-01,2009-05-27,撤消*ST并实行ST
000506.SZ,*ST中润,2024-05-06,2025-06-04,2024-04-30,*ST
000507.SZ,ST粤富华,1999-04-22,2000-04-25,1999-04-21,ST
000509.SZ,*ST华塑,2006-03-21,2006-10-08,2006-03-20,*ST
000509.SZ,S*ST华塑,2006-10-09,2008-03-09,2006-09-28,其他
000509.SZ,SST华塑,2008-03-10,2010-03-22,2008-03-07,撤消*ST并实行ST
000509.SZ,S*ST华塑,2010-03-23,2011-10-25,2010-03-22,从ST变为*ST
000509.SZ,SST华塑,2011-10-26,2013-05-01,2011-10-25,撤消*ST并实行ST
000509.SZ,S*ST华塑,2013-05-02,2014-01-08,2013-04-26,从ST变为*ST
000509.SZ,*ST华塑,2014-01-09,2014-05-18,2014-01-07,其他
000509.SZ,*ST华塑,2020-04-01,2022-06-30,2020-03-31,*ST
000510.SZ,*ST金路,2015-04-13,2016-04-28,2015-04-10,*ST
000514.SZ,ST渝开发,2002-04-18,2003-03-04,1999-08-20,ST
000516.SZ,ST国医,2022-01-17,2022-04-17,2022-01-14,ST
000517.SZ,*ST成功,2006-01-05,2006-10-08,2006-01-04,*ST
000517.SZ,S*ST成功,2006-10-09,2008-11-05,2006-09-28,其他
000517.SZ,*ST成功,2008-11-06,2009-09-10,2008-11-03,其他
000517.SZ,ST成功,2009-09-11,2010-04-13,2009-09-04,撤消*ST并实行ST
000518.SZ,ST苏三山,1998-05-04,1999-07-08,1998-04-30,ST
000518.SZ,ST振新,2000-04-10,2001-01-10,2000-04-07,撤销PT
000518.SZ,*ST生物,2009-04-29,2010-06-23,2009-04-28,*ST
000518.SZ,*ST四环,2025-04-30,2026-05-19,2025-04-29,*ST
000520.SZ,*ST凤凰,2013-04-25,2015-08-17,2013-04-24,*ST
000523.SZ,*ST浪奇,2021-05-06,2022-05-25,2021-04-30,*ST
000525.SZ,ST红太阳,2021-05-06,2024-09-18,2021-04-30,ST
000525.SZ,*ST红阳,2024-09-19,2024-12-17,2024-09-18,从ST变为*ST
000525.SZ,ST红太阳,2024-12-18,2025-06-12,2024-12-17,撤消*ST并实行ST
000526.SZ,ST厦海发,1999-04-19,2000-03-20,1999-04-16,ST
000526.SZ,*ST紫学,2017-04-11,2018-05-22,2017-04-08,*ST
000529.SZ,ST美雅,2003-04-22,2003-05-11,2003-04-21,ST
000529.SZ,*ST美雅,2003-05-12,2004-03-24,2003-04-21,从ST变为*ST
000529.SZ,ST美雅,2004-03-25,2005-05-24,2004-03-24,撤消*ST并实行ST
000529.SZ,*ST美雅,2005-05-25,2006-10-08,2005-05-24,从ST变为*ST
000529.SZ,S*ST美雅,2006-10-09,2009-01-19,2006-09-28,其他
000529.SZ,*ST美雅,2009-01-20,2009-09-10,2009-01-16,其他
000533.SZ,ST万家乐,2002-04-23,2003-05-11,2002-04-22,ST
000533.SZ,*ST家乐,2003-05-12,2004-03-25,2003-04-30,从ST变为*ST
000536.SZ,ST闽闽东,1999-04-29,2001-05-10,1999-04-28,ST
